Gene,Log2FoldChange,pvalue
ENSG00000130748,-0.106044686,0.414516507
ENSG00000130749,0.018685577,0.823805679
ENSG00000130751,0.055441808,0.596684535
ENSG00000130755,0.070042583,0.27786756
ENSG00000130758,-0.158049793,0.202688171
ENSG00000130764,-0.033177656,0.67782325
ENSG00000130766,0.849848065,1.16E-06
ENSG00000130770,0.120868438,0.226219618
ENSG00000130772,-0.162137238,0.159916519
ENSG00000130775,0.230748843,0.122573391
ENSG00000130779,-0.201429426,0.078386293
ENSG00000130783,-0.056124106,0.549434801
ENSG00000130787,0.199485154,0.164005494
ENSG00000130803,0.00117695,0.989993517
ENSG00000130810,-0.402809807,0.037061655
ENSG00000130811,-0.192283232,0.028681363
ENSG00000130812,0.028588133,0.739379684
ENSG00000130813,0.001688071,0.986138643
ENSG00000130816,0.048995646,0.604525896
ENSG00000130818,0.21494518,0.04591353
ENSG00000130821,-0.122258199,0.264924849
ENSG00000130822,0.055858495,0.575144566
ENSG00000130826,-0.054136066,0.655442101
ENSG00000130827,0.084049043,0.485748925
ENSG00000130830,0.013817475,0.906385361
ENSG00000130844,-0.030082606,0.798955335
ENSG00000130856,0.184597576,0.090825798
ENSG00000130876,-0.08524794,0.430738976
ENSG00000130881,0.255879722,0.057730968
ENSG00000130921,0.375786069,0.000239775
ENSG00000130935,0.001621801,0.986821427
ENSG00000130939,-0.007609811,0.943215855
ENSG00000130940,0.006569067,0.920172738
ENSG00000130943,0.19715367,0.175775147
ENSG00000130948,-0.102054959,0.142827859
ENSG00000130950,0.011491086,0.901058523
ENSG00000130956,-0.46289838,0.005084612
ENSG00000130958,-0.30839415,0.005484373
ENSG00000130962,-0.266513328,0.050705772
ENSG00000130985,-0.032036699,0.685582711
ENSG00000130988,0.112588958,0.401335264
ENSG00000130997,0.133709108,0.310723148
ENSG00000131002,0.002113187,0.963393468
ENSG00000131013,0.047785609,0.661759482
ENSG00000131015,0.126240487,0.332182305
ENSG00000131016,0.768630539,0.003723793
ENSG00000131018,-0.029761952,0.78373501
ENSG00000131019,0.324825673,0.061402249
ENSG00000131023,-0.02877321,0.749798389
ENSG00000131037,-0.603805824,0.015726118
ENSG00000131043,-0.218708205,0.006132978
ENSG00000131044,0.011282043,0.880203798
ENSG00000131051,0.037250907,0.625963755
ENSG00000131061,-0.052241045,0.676667535
ENSG00000131067,-0.027679229,0.759566369
ENSG00000131069,-0.238894746,0.010996575
ENSG00000131080,0.86770295,5.95E-07
ENSG00000131089,0.306625186,0.001638097
ENSG00000131094,0.067459255,0.522541848
ENSG00000131096,0.02527312,0.728437192
ENSG00000131100,-0.28364115,0.003540426
ENSG00000131115,0.173291763,0.128525938
ENSG00000131116,0.051885694,0.665690186
ENSG00000131127,0.21630193,0.113387541
ENSG00000131143,0.025508671,0.764617962
ENSG00000131148,-0.359563113,0.000113586
ENSG00000131149,0.190942825,0.175112562
ENSG00000131153,0.191054876,0.182909763
ENSG00000131165,-0.143442803,0.246581251
ENSG00000131171,-0.002739868,0.977675164
ENSG00000131174,0.154903443,0.220604939
ENSG00000131187,-0.010124984,0.900684172
ENSG00000131188,0.052261315,0.663107536
ENSG00000131196,-0.043342651,0.728251411
ENSG00000131236,-0.492698048,1.32E-06
ENSG00000131238,-0.062305964,0.500144093
ENSG00000131242,2.100694661,4.59E-11
ENSG00000131263,-0.158906246,0.013921352
ENSG00000131269,0.205416347,0.030698268
ENSG00000131323,0.376137917,0.000745571
ENSG00000131351,-0.076560534,0.557122305
ENSG00000131368,-0.004703314,0.958091795
ENSG00000131370,0.906454807,3.47E-07
ENSG00000131373,-0.075113068,0.50374143
ENSG00000131374,0.192993731,0.030172319
ENSG00000131375,0.028387751,0.74632671
ENSG00000131378,-0.087004357,0.506171569
ENSG00000131379,0.11290233,0.151249202
ENSG00000131381,0.105868032,0.341339328
ENSG00000131386,-1.435885132,7.26E-08
ENSG00000131389,2.073736364,1.70E-21
ENSG00000131398,-0.04864394,0.283736553
ENSG00000131400,0.001278449,0.99132071
ENSG00000131408,-0.320300133,0.002674814
ENSG00000131409,0.119436112,0.327594221
ENSG00000131435,0.281568065,0.069332068
ENSG00000131437,0.556747021,3.26E-05
ENSG00000131446,-0.834505904,3.19E-12
ENSG00000131459,-1.202241148,9.60E-07
ENSG00000131462,0.153655244,0.269286481
ENSG00000131467,-0.283435747,0.004249761
ENSG00000131469,0.013064535,0.917838899
ENSG00000131470,-0.200129435,0.173830281
ENSG00000131471,-0.0247075,0.752357009
ENSG00000131473,-0.129697106,0.23853119
ENSG00000131475,-0.097247954,0.254118833
ENSG00000131477,-0.127202438,0.219677436
ENSG00000131480,-0.24096275,0.118350256
ENSG00000131484,0.046673602,0.632928779
ENSG00000131495,-0.115549474,0.300642607
ENSG00000131503,0.054054511,0.675014298
ENSG00000131504,-0.23869618,0.061636992
ENSG00000131507,-0.348771508,0.002777568
ENSG00000131508,-0.261611984,0.010980911
ENSG00000131558,0.065153258,0.353905406
ENSG00000131584,0.257320572,0.098028185
ENSG00000131591,-0.009896454,0.934418694
ENSG00000131620,-0.027125778,0.726349033
ENSG00000131626,-0.115153671,0.244429723
ENSG00000131634,-0.550252088,0.007652141
ENSG00000131650,0.042691193,0.331991494
ENSG00000131652,0.088349093,0.478320268
ENSG00000131653,-0.087593236,0.404540791
ENSG00000131669,0.462873495,0.008400787
ENSG00000131697,0.059634058,0.638773936
ENSG00000131711,0.311115827,0.04866995
ENSG00000131724,0.008453493,0.950426687
ENSG00000131725,-0.203332782,0.043092746
ENSG00000131730,0.9697276,0.00077582
ENSG00000131732,0.3389815,0.006877187
ENSG00000131746,0.007188475,0.904995846
ENSG00000131747,0.173755129,0.211270465
ENSG00000131748,0.006868917,0.940249702
ENSG00000131759,0.199527723,0.113515789
ENSG00000131771,2.396140896,0.00061072
ENSG00000131773,-0.16075465,0.249955396
ENSG00000131778,0.222469785,0.053961687
ENSG00000131779,-0.170013781,0.076476624
ENSG00000131781,-0.207735548,0.138554601
ENSG00000131788,0.065411535,0.465942243
ENSG00000131791,-0.018913119,0.853974279
ENSG00000131795,-0.050888826,0.604472513
ENSG00000131797,0.400876965,0.016921849
ENSG00000131828,-0.063418789,0.499772663
ENSG00000131831,-0.10007046,0.129551543
ENSG00000131844,-0.424870856,2.20E-05
ENSG00000131845,0.129060042,0.173054367
ENSG00000131848,0.006360676,0.962129382
ENSG00000131849,0.069574905,0.590002442
ENSG00000131871,-0.671570391,4.50E-18
ENSG00000131873,0.040951661,0.727914496
ENSG00000131876,0.039272177,0.759415915
ENSG00000131899,0.39110216,0.000988323
ENSG00000131931,-0.064999771,0.552372895
ENSG00000131941,-0.197066753,0.179735751
ENSG00000131943,-0.256844717,0.038114223
ENSG00000131944,0.021108074,0.867567183
ENSG00000131966,-0.075146959,0.36189792
ENSG00000131969,0.036942601,0.704041815
ENSG00000131979,-1.531661629,2.85E-09
ENSG00000131981,0.234339067,0.085707067
ENSG00000132000,-0.029733934,0.79417375
ENSG00000132002,0.266154065,0.011404365
ENSG00000132003,-0.312387036,0.066442332
ENSG00000132004,0.106550994,0.41499964
ENSG00000132005,0.045648189,0.694767636
ENSG00000132010,0.034966593,0.622722478
ENSG00000132016,0.124316177,0.307744587
ENSG00000132017,0.144953942,0.197187694
ENSG00000132024,0.062462378,0.530508384
ENSG00000132031,-0.341783918,0.052583688
ENSG00000132109,0.183336816,0.084823314
ENSG00000132122,-0.19130185,0.082773104
ENSG00000132128,0.017965621,0.829393258
ENSG00000132139,-0.032509491,0.331856446
ENSG00000132141,-0.201836176,0.167839448
ENSG00000132142,0.124990105,0.249803157
ENSG00000132153,-0.11322983,0.213119805
ENSG00000132155,-0.762918672,2.61E-09
ENSG00000132170,-0.862442388,0.000495924
ENSG00000132185,0.060983542,0.188932775
ENSG00000132196,0.029661826,0.816071885
ENSG00000132199,0.632611905,0.00049652
ENSG00000132205,0.240523924,0.069130226
ENSG00000132207,0.024734538,0.806517259
ENSG00000132254,0.128702978,0.243290202
ENSG00000132256,0.49353756,0.002160145
ENSG00000132259,0.040184426,0.554084126
ENSG00000132274,0.095657684,0.269668434
ENSG00000132275,0.017786566,0.868564342
ENSG00000132286,-0.166468747,0.118866949
ENSG00000132294,0.006332992,0.955746482
ENSG00000132300,-0.015543855,0.843268777
ENSG00000132305,-0.089312921,0.388364725
ENSG00000132313,-0.002436505,0.980268546
ENSG00000132321,1.105186659,0.001939592
ENSG00000132323,-0.023205754,0.826004376
ENSG00000132326,0.84474976,0.002592787
ENSG00000132329,0.012843007,0.879575237
ENSG00000132330,-0.128680445,0.342116956
ENSG00000132334,-0.886690866,0.005700892
ENSG00000132341,-0.15338143,0.182847346
ENSG00000132356,-0.849212453,1.50E-21
ENSG00000132357,-0.30987362,0.000877666
ENSG00000132359,-0.062478576,0.447145626
ENSG00000132361,-0.43383509,0.000325915
ENSG00000132376,-0.483189283,0.000152744
ENSG00000132382,-0.151578991,0.164676134
ENSG00000132383,0.193862219,0.069709135
ENSG00000132386,0.14244521,0.184199272
ENSG00000132388,-0.010184181,0.905172865
ENSG00000132394,0.089284445,0.438703913
ENSG00000132405,0.194020064,0.084772703
ENSG00000132406,-0.315010718,0.002553278
ENSG00000132423,-0.190356737,0.193519781
ENSG00000132424,0.163416821,0.064694866
ENSG00000132429,-0.121499302,0.351109908
ENSG00000132432,-0.118135494,0.343280445
ENSG00000132434,0.141944699,0.155576295
ENSG00000132436,0.245476105,0.061953807
ENSG00000132463,-0.319062481,0.000331976
ENSG00000132464,0.054303545,0.599432725
ENSG00000132465,-0.00213423,0.977232646
ENSG00000132466,-0.023513706,0.802916646
ENSG00000132467,-0.251975236,0.014748342
ENSG00000132470,0.111104995,0.340101223
ENSG00000132471,-0.106640603,0.321516418
ENSG00000132475,0.170468793,0.01005386
ENSG00000132478,0.289732638,0.022995099
ENSG00000132481,0.160510765,0.240106038
ENSG00000132485,-0.09579357,0.245159203
ENSG00000132498,0.029562553,0.608069223
ENSG00000132507,-0.177230376,0.165450051
ENSG00000132510,0.276554418,0.054989712
ENSG00000132517,0.040230397,0.446507094
ENSG00000132518,-6.636780928,1.43E-06
ENSG00000132522,-0.02285103,0.808942774
ENSG00000132530,0.882138704,2.48E-09
ENSG00000132535,0.283579839,0.004608581
ENSG00000132541,0.480820915,0.009441877
ENSG00000132549,0.187532949,0.075642628
ENSG00000132554,0.092668954,0.488256672
ENSG00000132561,0.060199814,0.611852699
ENSG00000132563,-0.139793323,0.297759218
ENSG00000132570,0.103656931,0.435683367
ENSG00000132581,-0.221280303,0.010791747
ENSG00000132589,-0.445177592,6.97E-05
ENSG00000132591,-0.162038974,0.069662958
ENSG00000132600,-0.179072699,0.164763133
ENSG00000132603,-0.322538547,0.016955671
ENSG00000132604,0.098338895,0.253364214
ENSG00000132612,-0.412138904,1.47E-07
ENSG00000132613,-0.642334795,0.00076643
ENSG00000132622,2.217653258,1.33E-10
ENSG00000132623,-0.006952768,0.958256485
ENSG00000132635,0.080376892,0.421465874
ENSG00000132639,0.030156691,0.690513373
ENSG00000132640,-0.114790433,0.39728844
ENSG00000132646,0.589091519,4.53E-05
ENSG00000132661,0.227097195,0.114874266
ENSG00000132664,-0.000719891,0.994028976
ENSG00000132669,-0.263101798,0.035806493
ENSG00000132670,-0.123519655,0.239165142
ENSG00000132676,0.016761553,0.861733489
ENSG00000132680,-0.141668575,0.120029914
ENSG00000132681,0.030168492,0.567878257
ENSG00000132688,0.555567619,0.011357884
ENSG00000132692,0.017867839,0.740699174
ENSG00000132694,-0.024815079,0.736105202
ENSG00000132716,-0.180145431,0.05787924
ENSG00000132718,-0.050178812,0.648122715
ENSG00000132740,-0.562645089,2.91E-05
ENSG00000132746,-0.085915291,0.099504519
ENSG00000132749,-0.008337271,0.878875524
ENSG00000132763,0.307747106,0.038075482
ENSG00000132768,-0.304445077,0.013278128
ENSG00000132773,0.18618517,0.147364113
ENSG00000132780,0.186934328,0.056749956
ENSG00000132781,0.069235615,0.576361895
ENSG00000132792,-0.109474306,0.275282294
ENSG00000132793,-0.463859078,0.020641066
ENSG00000132801,0.478535663,0.002783218
ENSG00000132819,0.109600387,0.340615371
ENSG00000132821,-0.021149276,0.827215689
ENSG00000132823,-0.310279657,0.015482632
ENSG00000132824,-0.361933989,0.004042794
ENSG00000132825,-0.294997578,0.042446002
ENSG00000132832,0.237090002,0.048892242
ENSG00000132837,0.148669896,0.27973108
ENSG00000132840,0.08400161,0.480581686
ENSG00000132842,-0.102118741,0.23160883
ENSG00000132846,0.385567988,0.013957511
ENSG00000132849,-0.147719954,0.242528537
ENSG00000132854,2.390650055,0.002469556
ENSG00000132874,-0.0585041,0.446452631
ENSG00000132879,0.055141491,0.610247167
ENSG00000132881,-0.210737607,0.148696184
ENSG00000132906,-0.065921675,0.588605467
ENSG00000132912,0.030112869,0.690503308
ENSG00000132932,0.055005683,0.274660716
ENSG00000132950,0.139886449,0.215957108
ENSG00000132952,0.000275845,0.99935257
ENSG00000132953,-0.065011653,0.502044463
ENSG00000132963,-0.326141728,0.008476515
ENSG00000132964,-0.064400067,0.605393576
ENSG00000132965,-1.121717759,0.004773064
ENSG00000132967,0.142477643,0.168594483
ENSG00000132970,-1.079281928,9.12E-21
ENSG00000133026,-0.372553381,0.039589362
ENSG00000133027,-0.375946162,0.027079755
ENSG00000133028,-0.076657304,0.518984603
ENSG00000133030,0.006563861,0.942459498
ENSG00000133048,0.008177186,0.907235787
ENSG00000133055,-0.01028824,0.879054906
ENSG00000133056,0.063858356,0.573710078
ENSG00000133059,0.395077195,0.001418867
ENSG00000133065,-0.102416378,0.3688796
ENSG00000133069,0.987714878,1.45E-08
ENSG00000133083,0.027964978,0.695982332
ENSG00000133101,-0.030469351,0.594088245
ENSG00000133103,0.520655386,7.12E-05
ENSG00000133104,-0.382105753,0.002856277
ENSG00000133106,-0.561385964,0.001157772
ENSG00000133107,0.035381152,0.661501895
ENSG00000133110,0.129700581,0.118190452
ENSG00000133111,0.20914018,0.161644003
ENSG00000133112,-0.080698217,0.437571008
ENSG00000133114,0.120093767,0.236882316
ENSG00000133116,0.012887336,0.844074997
ENSG00000133119,0.025711512,0.838013638
ENSG00000133121,-0.595196338,6.15E-05
ENSG00000133131,0.190949264,0.090868233
ENSG00000133134,0.04045601,0.444456564
ENSG00000133135,0.062135878,0.586657344
ENSG00000133136,0.016142451,0.866012773
ENSG00000133138,0.182513074,0.126701526
ENSG00000133142,-1.517641751,3.54E-23
ENSG00000133169,-0.089083464,0.105494986
ENSG00000133193,0.04117627,0.703908854
ENSG00000133195,0.050615572,0.703123696
ENSG00000133216,1.568485261,4.15E-06
ENSG00000133226,0.067349836,0.319493136
ENSG00000133243,-0.111598475,0.209271095
ENSG00000133246,0.010108566,0.878982132
ENSG00000133247,0.369877063,0.016984862
ENSG00000133250,0.040958769,0.753476566
ENSG00000133256,0.005120172,0.965294731
ENSG00000133265,-0.046956222,0.675340664
ENSG00000133275,-0.045479903,0.600008521
ENSG00000133302,-0.196952136,0.149563176
ENSG00000133313,-0.132683669,0.12840316
ENSG00000133315,0.011663998,0.927474189
ENSG00000133316,-0.26503674,0.029113562
ENSG00000133318,-0.137166488,0.247812498
ENSG00000133321,0.265921843,0.096922164
ENSG00000133392,-0.034966235,0.535409724
ENSG00000133393,-0.035249349,0.707296402
ENSG00000133398,-0.196918706,0.051696029
ENSG00000133401,-1.064568338,0.000121451
ENSG00000133422,-0.085031203,0.315550757
ENSG00000133424,0.226861324,0.118814033
ENSG00000133433,-0.033315063,0.67681812
ENSG00000133460,0.226696229,0.111734721
ENSG00000133466,0.542585833,0.0010276
ENSG00000133475,0.030255561,0.679460782
ENSG00000133488,-0.032175882,0.579929209
ENSG00000133597,-0.326509675,0.036340472
ENSG00000133606,-0.149787125,0.163629517
ENSG00000133612,-0.090198609,0.42939826
ENSG00000133619,0.18068958,0.142205192
ENSG00000133624,0.11828474,0.225764972
ENSG00000133627,0.028671855,0.819182073
ENSG00000133639,-0.398157196,0.000830396
ENSG00000133640,0.090423602,0.17787597
ENSG00000133641,-0.544193283,3.23E-06
ENSG00000133657,-0.152180277,0.195699102
ENSG00000133661,-0.012436453,0.862159602
ENSG00000133678,0.028155735,0.808030574
ENSG00000133687,-0.379526252,0.038573856
ENSG00000133703,0.003615074,0.97325926
ENSG00000133704,0.072477561,0.405886927
ENSG00000133706,-0.007906587,0.937255115
ENSG00000133731,-0.293010554,0.02003006
ENSG00000133739,0.001723157,0.989836766
ENSG00000133740,0.122270147,0.364711433
ENSG00000133773,0.009531189,0.919096425
ENSG00000133789,-0.604019804,7.30E-05
ENSG00000133794,-0.661961901,1.23E-05
ENSG00000133800,-0.121102901,0.206686331
ENSG00000133805,-0.196735814,0.178581169
ENSG00000133808,-0.1117756,0.165480945
ENSG00000133812,-0.17069354,0.157278664
ENSG00000133816,-0.989116034,3.36E-05
ENSG00000133818,-0.559226618,0.000450357
ENSG00000133835,-0.229961532,0.006460295
ENSG00000133858,-0.265967347,0.005923025
ENSG00000133863,-0.003902286,0.921768565
ENSG00000133872,0.081656387,0.409887986
ENSG00000133874,0.26192617,0.100878336
ENSG00000133878,-0.007883843,0.895643627
ENSG00000133884,0.154953358,0.049940812
ENSG00000133895,-0.059181511,0.563587086
ENSG00000133935,0.155100625,0.211733606
ENSG00000133937,0.0028189,0.956542111
ENSG00000133943,0.837247087,9.75E-09
ENSG00000133958,0.081367929,0.482210033
ENSG00000133961,-0.181291139,0.038406317
ENSG00000133983,-0.237172647,0.077576997
ENSG00000133985,0.006670101,0.933533334
ENSG00000133997,-0.00139725,0.98866401
ENSG00000134001,-0.16835291,0.099791167
ENSG00000134013,0.39151584,0.037020034
ENSG00000134014,-0.068712786,0.484534741
ENSG00000134020,-0.298278117,0.062851993
ENSG00000134028,0.032544465,0.642214986
ENSG00000134030,-0.136406702,0.167200778
ENSG00000134042,-0.065035503,0.265308383
ENSG00000134046,-0.502708351,1.19E-05
ENSG00000134049,-0.254439183,0.039224201
ENSG00000134056,-0.506672881,5.29E-06
ENSG00000134057,-0.101916876,0.43347367
ENSG00000134058,-0.296282235,0.011514396
ENSG00000134070,0.818258168,0.001482774
ENSG00000134072,-0.025581951,0.842376985
ENSG00000134077,-0.010075403,0.913142695
ENSG00000134086,0.030660917,0.698718449
ENSG00000134107,0.186839852,0.144973069
ENSG00000134108,-0.252946543,0.003681202
ENSG00000134109,-0.306358966,0.01053836
ENSG00000134121,-0.11048378,0.105664392
ENSG00000134138,0.62480689,0.004358764
ENSG00000134146,-0.233265145,0.093311899
ENSG00000134152,-0.2154323,0.047704731
ENSG00000134153,-0.188839389,0.107555788
ENSG00000134183,0.057384668,0.511125797
ENSG00000134184,0.117425495,0.34814893
ENSG00000134186,-0.121685131,0.251389458
ENSG00000134198,0.112604872,0.194683382
ENSG00000134201,0.311878757,0.065026213
ENSG00000134202,0.228241641,0.107953975
ENSG00000134222,-0.106489016,0.430065204
ENSG00000134242,-1.109854837,0.008296507
ENSG00000134243,-2.158007619,9.67E-17
ENSG00000134245,-0.113145965,0.401298441
ENSG00000134247,0.605692811,0.004179335
ENSG00000134248,-0.268696611,0.013113668
ENSG00000134250,-0.088705241,0.423520736
ENSG00000134253,1.922762642,1.51E-20
ENSG00000134255,0.182646115,0.08833534
ENSG00000134256,0.032290534,0.533533347
ENSG00000134258,0.106580493,0.005936193
ENSG00000134259,1.00363616,0.002515615
ENSG00000134262,-0.023751795,0.83140118
ENSG00000134265,-0.392026341,0.000141434
ENSG00000134278,0.133193515,0.29375926
ENSG00000134283,-0.155195127,0.091243362
ENSG00000134285,-0.262769473,0.048969766
ENSG00000134287,-0.227640675,0.015339337
ENSG00000134291,0.148219877,0.236549099
ENSG00000134294,-1.189562328,2.28E-12
ENSG00000134297,0.005768802,0.965714435
ENSG00000134308,-0.075558146,0.333011209
ENSG00000134313,0.037042703,0.732629816
ENSG00000134317,0.136080079,0.277059561
ENSG00000134318,-0.784313634,1.60E-12
ENSG00000134321,0.151591116,0.006133981
ENSG00000134324,-0.51415074,0.002881903
ENSG00000134326,0.023098622,0.700767672
ENSG00000134330,-0.128442982,0.217026445
ENSG00000134333,-0.805974184,5.40E-05
ENSG00000134343,-0.077445161,0.430397983
ENSG00000134352,-0.083753198,0.438735701
ENSG00000134363,1.672561039,1.53E-08
ENSG00000134369,-0.057745145,0.643844038
ENSG00000134371,-0.286286575,0.000812832
ENSG00000134375,-0.108360214,0.351283424
ENSG00000134376,1.227601011,0.006660555
ENSG00000134398,0.020671092,0.679609012
ENSG00000134419,0.03492841,0.74254174
ENSG00000134440,-0.062466548,0.456282628
ENSG00000134444,-0.120687416,0.129659743
ENSG00000134452,-0.103095399,0.130167944
ENSG00000134453,-0.057139566,0.505889486
ENSG00000134461,0.041683037,0.738096186
ENSG00000134463,-0.07037545,0.488379673
ENSG00000134470,-0.112657209,0.403522324
ENSG00000134480,-0.236581148,0.078144518
ENSG00000134489,0.013331718,0.77361055
ENSG00000134490,-0.199760007,0.12447193
ENSG00000134504,-0.098439578,0.450988375
ENSG00000134508,-0.736766492,0.000128801
ENSG00000134516,0.264476835,0.062553794
ENSG00000134531,-0.925262445,4.53E-10
ENSG00000134532,-0.601022565,0.000213805
ENSG00000134533,-0.041485911,0.622994156
ENSG00000134539,0.098424401,0.243350599
ENSG00000134548,0.153248763,0.25203257
ENSG00000134551,0.11449241,0.195986161
ENSG00000134569,0.24255513,0.114709574
ENSG00000134574,0.193819495,0.172133056
ENSG00000134575,-0.287267061,0.04492053
ENSG00000134590,-0.174667424,0.020351736
ENSG00000134594,0.312794674,0.053124058
ENSG00000134595,0.056586185,0.278188661
ENSG00000134597,0.188626495,0.073137823
ENSG00000134602,-0.21050076,0.155615202
ENSG00000134627,-0.187715842,0.192622184
ENSG00000134644,-0.079441883,0.345957919
ENSG00000134668,-0.05959901,0.643123275
ENSG00000134684,0.713067035,9.70E-10
ENSG00000134686,-1.375677415,4.28E-52
ENSG00000134690,-0.042714691,0.710105684
ENSG00000134697,-0.414388962,0.001320419
ENSG00000134698,-0.253271964,0.01009528
ENSG00000134709,-0.101737561,0.076614916
ENSG00000134716,0.079816438,0.357291997
ENSG00000134717,-0.061711684,0.434742308
ENSG00000134744,0.325999824,0.002308134
ENSG00000134748,0.112567312,0.259061982
ENSG00000134755,0.062299673,0.280667612
ENSG00000134758,0.052734274,0.649764776
ENSG00000134759,0.088970815,0.270484238
ENSG00000134762,-0.168332181,0.061997059
ENSG00000134769,0.833479452,2.93E-07
ENSG00000134775,-0.071901095,0.581530314
ENSG00000134779,0.200834807,0.104827136
ENSG00000134780,0.507322625,0.007305132
ENSG00000134802,0.240449777,0.104839344
ENSG00000134809,-0.012961372,0.918703613
ENSG00000134815,0.166308884,0.233048389
ENSG00000134824,-0.018047316,0.866738195
ENSG00000134825,-0.004688124,0.96759627
ENSG00000134851,-0.578136442,1.66E-07
ENSG00000134852,0.013568314,0.876383193
ENSG00000134853,-0.478266789,0.004902544
ENSG00000134864,-0.113751626,0.394489733
ENSG00000134871,-0.819108941,5.13E-06
ENSG00000134874,0.381290265,0.000985667
ENSG00000134882,-0.087815048,0.321515116
ENSG00000134884,-0.049438782,0.576381552
ENSG00000134897,-0.107270193,0.351535776
ENSG00000134899,-0.084548391,0.383091368
ENSG00000134900,-0.162998885,0.135859424
ENSG00000134901,0.18946856,0.087337038
ENSG00000134905,-0.286399329,0.018027393
ENSG00000134909,0.275202098,0.013020544
ENSG00000134910,-0.054781326,0.576223943
ENSG00000134917,-0.064640251,0.57331621
ENSG00000134954,-0.165171774,0.14140631
ENSG00000134955,-0.013486084,0.802059639
ENSG00000134970,-0.254477223,0.024533388
ENSG00000134982,-0.17163939,0.10415703
ENSG00000134986,0.519214724,0.000667069
ENSG00000134987,0.672306291,2.93E-06
ENSG00000134996,-0.052209503,0.657874143
ENSG00000135002,-0.12284146,0.303507898
ENSG00000135018,-0.21737909,0.006670535
ENSG00000135040,0.137938981,0.171612935
ENSG00000135045,0.171926323,0.226939718
ENSG00000135046,-0.35719359,0.015595917
ENSG00000135047,-0.106431098,0.342846536
ENSG00000135048,-0.82766416,2.02E-06
ENSG00000135049,-0.184996422,0.118810636
ENSG00000135052,0.317430455,0.004308515
ENSG00000135069,1.125777019,2.07E-05
ENSG00000135070,-0.50993235,1.77E-07
ENSG00000135074,-0.419246422,0.008811292
ENSG00000135077,0.026976865,0.824919383
ENSG00000135083,0.115407872,0.177000411
ENSG00000135090,-0.34174366,5.66E-05
ENSG00000135093,0.361007804,0.001653681
ENSG00000135100,-0.003112646,0.97489304
ENSG00000135108,0.140200569,0.125886678
ENSG00000135111,0.395016163,0.001240635
ENSG00000135114,0.060374893,0.417588029
ENSG00000135116,0.084285176,0.228231819
ENSG00000135119,0.051706543,0.541811722
ENSG00000135124,-0.006471603,0.956534723
ENSG00000135148,-0.038546564,0.741175819
ENSG00000135164,-0.083877645,0.440394151
ENSG00000135185,-0.280273162,0.047624545
ENSG00000135205,-0.152164442,0.246339003
ENSG00000135211,-0.14746108,0.282774603
ENSG00000135213,-0.092677372,0.308903167
ENSG00000135218,-0.061770266,0.582834549
ENSG00000135241,-0.480379541,0.000207879
ENSG00000135245,-0.081140998,0.532098596
ENSG00000135248,-0.056200136,0.387958731
ENSG00000135249,0.027226661,0.798510341
ENSG00000135250,0.204931522,0.026361848
ENSG00000135253,0.159020615,0.074711669
ENSG00000135269,0.083643725,0.53297782
ENSG00000135272,-0.370441136,0.000451391
ENSG00000135297,0.168993299,0.136078889
ENSG00000135299,-0.000110133,0.998176975
ENSG00000135312,-0.090852599,0.041704058
ENSG00000135314,0.081437583,0.538425242
ENSG00000135315,0.325412668,0.003013782
ENSG00000135316,-0.159580768,0.072356456
ENSG00000135317,-0.118911865,0.242766793
ENSG00000135318,0.725255867,0.00072821
ENSG00000135324,-0.010388763,0.76085652
ENSG00000135334,0.006665567,0.939927624
ENSG00000135336,-0.0250368,0.783989264
ENSG00000135338,0.06973491,0.519533395
ENSG00000135341,0.02889614,0.776476483
ENSG00000135346,-0.007028251,0.817981119
ENSG00000135362,-1.491377644,7.60E-15
ENSG00000135363,0.017045785,0.790266627
ENSG00000135365,0.047410612,0.639662373
ENSG00000135372,-0.140034428,0.180218377
ENSG00000135378,-0.223805807,0.039597645
ENSG00000135387,0.143393836,0.071042304
ENSG00000135390,0.113166527,0.184070052
ENSG00000135392,0.107371542,0.337284089
ENSG00000135404,0.135976958,0.180612207
ENSG00000135406,0.004564358,0.928174541
ENSG00000135407,-0.177105963,0.20451695
ENSG00000135414,0.42077823,1.35E-05
ENSG00000135423,0.105365892,0.429979302
ENSG00000135424,0.367967629,0.019944603
ENSG00000135436,-0.048185024,0.610398559
ENSG00000135437,0.377668446,0.042633095
ENSG00000135439,0.02679305,0.703584862
ENSG00000135441,0.030661939,0.814404916
ENSG00000135446,0.718087511,1.66E-06
ENSG00000135451,-0.061178191,0.514170804
ENSG00000135452,-0.283940144,0.016913704
ENSG00000135454,-0.090077677,0.316448157
ENSG00000135457,0.069919324,0.499708117
ENSG00000135469,0.029258171,0.819994438
ENSG00000135472,1.470093698,5.81E-06
ENSG00000135473,-0.122339851,0.284536934
ENSG00000135476,-0.011023773,0.930929235
ENSG00000135477,0.010027278,0.841777319
ENSG00000135480,-0.114615897,0.197455349
ENSG00000135482,0.05959045,0.620181051
ENSG00000135486,-0.1207643,0.303953395
ENSG00000135502,-0.246502151,0.113898894
ENSG00000135503,-0.313444183,3.09E-05
ENSG00000135506,0.029427319,0.742151572
ENSG00000135519,0.023246168,0.688415286
ENSG00000135521,-0.159822342,0.219854227
ENSG00000135525,0.082722925,0.507292326
ENSG00000135535,0.050671327,0.51785712
ENSG00000135537,-0.090133006,0.477088319
ENSG00000135540,-0.271214593,0.086136736
